Year,Country,Metier,Area,Species,Discard_ID,DR,Landings,Match
2009,FRA,OTM_SPF,27.7.d,WHG,2009_FRA_WHG_27.7.d_OTM_SPF,NA,87.0373,AC_Missmatches
2009,FRA,OTT_CRU,27.7.f,HAD,2009_FRA_HAD_27.7.f_OTT_CRU,NA,0.72545,AC_Missmatches
2009,FRA,OTT_CRU,27.7.f,MEG,2009_FRA_MEG_27.7.f_OTT_CRU,NA,0.89046588,AC_Missmatches
2009,FRA,OTT_CRU,27.7.f,MON,2009_FRA_MON_27.7.f_OTT_CRU,NA,1.2074418,AC_Missmatches
2009,FRA,OTT_CRU,27.7.g,HAD,2009_FRA_HAD_27.7.g_OTT_CRU,NA,188.38307,AC_Missmatches
2009,FRA,OTT_CRU,27.7.g,MEG,2009_FRA_MEG_27.7.g_OTT_CRU,NA,242.80218659526,AC_Missmatches
2009,FRA,OTT_CRU,27.7.g,MON,2009_FRA_MON_27.7.g_OTT_CRU,NA,305.7611736,AC_Missmatches
2009,FRA,OTT_CRU,27.7.h,HAD,2009_FRA_HAD_27.7.h_OTT_CRU,NA,46.41677,AC_Missmatches
2009,FRA,OTT_CRU,27.7.h,MEG,2009_FRA_MEG_27.7.h_OTT_CRU,NA,96.70275924474,AC_Missmatches
2009,FRA,OTT_CRU,27.7.h,MON,2009_FRA_MON_27.7.h_OTT_CRU,NA,100.9317336,AC_Missmatches
2009,FRA,OTT_CRU,27.7.j,HAD,2009_FRA_HAD_27.7.j_OTT_CRU,NA,0.83329,AC_Missmatches
2009,FRA,OTT_CRU,27.7.j,MEG,2009_FRA_MEG_27.7.j_OTT_CRU,NA,0.56797524,AC_Missmatches
2009,FRA,OTT_CRU,27.7.j,MON,2009_FRA_MON_27.7.j_OTT_CRU,NA,5.6328506,AC_Missmatches
2009,FRA,OTT_CRU,27.7.k,HAD,2009_FRA_HAD_27.7.k_OTT_CRU,NA,0.09405,AC_Missmatches
2009,FRA,OTT_CRU,27.7.k,MEG,2009_FRA_MEG_27.7.k_OTT_CRU,NA,0.21207708,AC_Missmatches
