"","scenario","fleet","stock","catch","tacshare","effort","catch_ssa","tac_ssa","effort_ssa","limitation"
"49","fixedEffort","FRA_Otter_10<40m","whg.27.7b-ce-k",3902.50391107192,0.419707507996564,143727.918333333,5261,2208.08119956992,81322.8946227967,"intermediate"
"50","fixedEffort","FRA_Otter_10<40m","had.27.7b-k",10340.5161682339,0.589988294420319,143727.918333333,18382,10845.1648280343,150742.278175991,"intermediate"
"51","fixedEffort","FRA_Otter_10<40m","nep.out.7",41.0846541164692,0.162711290353593,143727.918333333,150,24.4066935530389,85382.8110085435,"intermediate"
"52","fixedEffort","FRA_Otter_10<40m","nep.fu.22",11.9098387719725,0.00380194195629415,143727.918333333,1560,5.93102945181887,71575.6554731624,"intermediate"
"53","fixedEffort","FRA_Otter_10<40m","nep.fu.2021",215.167817887923,0.112057159545279,143727.918333333,1710,191.617742822427,127996.926129283,"intermediate"
"54","fixedEffort","FRA_Otter_10<40m","nep.fu.19",6.89968516505928,0.0171339229561274,143727.918333333,595,10.1946841588958,212366.317762458,"least"
"55","fixedEffort","FRA_Otter_10<40m","nep.fu.16",102.979930224588,0.0269418079908895,143727.918333333,3290,88.6385482900265,123711.814545125,"intermediate"
"56","fixedEffort","FRA_Static_10<40m","cod.27.7e-k",4.55156987778422,0.00813678900560127,43862.7516666667,0,0,0,NA
"57","fixedEffort","FRA_Static_10<40m","mon.27.78abd",1996.59496998904,0.0622114726808083,43862.7516666667,34579,2151.21051382967,47259.4662258171,NA
"58","fixedEffort","FRA_Static_10<40m","sol.27.7fg",0,0,43862.7516666667,1413,0,NA,NA
"59","fixedEffort","FRA_Static_10<40m","nep.out.7",0.00161521291567026,0.00000282610694211334,43862.7516666667,150,0.000423916041317001,11511.8718203712,NA
"60","fixedEffort","IE_Beam_10<24m","cod.27.7e-k",12.5536870839733,0.0140906424027154,2142.27733333333,0,0,0,"choke"
"61","fixedEffort","IE_Beam_10<24m","meg.27.7b-k8abd",198.57560486052,0.00985397941677704,2142.27733333333,19184,189.038741131451,2039.39154828323,"intermediate"
"62","fixedEffort","IE_Beam_10<24m","mon.27.78abd",161.211403381077,0.00420216100706539,2142.27733333333,34579,145.306525463314,1930.92342946516,"intermediate"
"63","fixedEffort","IE_Beam_10<24m","sol.27.7fg",19.1356178957425,0.0045810433428252,2142.27733333333,1413,6.47301424341201,724.669136244125,"intermediate"
"64","fixedEffort","IE_Beam_10<24m","whg.27.7b-ce-k",21.1131735220102,0.00199991963459421,2142.27733333333,5261,10.5215771976001,1067.58637292673,"intermediate"
"65","fixedEffort","IE_Beam_10<24m","had.27.7b-k",237.458912689536,0.00675980437904149,2142.27733333333,18382,124.258724095541,1121.02192789383,"intermediate"
"66","fixedEffort","IE_Beam_10<24m","nep.fu.22",0.360103890354319,0.000122454478546842,2142.27733333333,1560,0.191028986533074,1136.44167369805,"intermediate"
"67","fixedEffort","IE_Beam_10<24m","nep.fu.2021",9.41627252804251,0.0023756901365329,2142.27733333333,1710,4.06243013347126,924.235356110169,"intermediate"
"68","fixedEffort","IE_Beam_10<24m","nep.fu.19",0.0243676548495934,0.0000686065186853285,2142.27733333333,595,0.0408208786177705,3588.75909599729,"intermediate"
"69","fixedEffort","IE_Beam_10<24m","nep.fu.16",0,0.00000964892197482479,2142.27733333333,3290,0.0317449532971736,Inf,"least"
"70","fixedEffort","IE_Beam_24<40m","cod.27.7e-k",21.9951173450608,0.02967667307165,9768.18433333333,0,0,0,NA
"71","fixedEffort","IE_Beam_24<40m","meg.27.7b-k8abd",571.995223792961,0.0280126157769926,9768.18433333333,19184,537.394021065826,9177.28617136541,NA
"72","fixedEffort","IE_Beam_24<40m","mon.27.78abd",432.783189193097,0.0110248582030503,9768.18433333333,34579,381.228571803276,8604.56472316047,NA
