"","stock","fleet","scenario","effort","limitation","CS2020_effort","CS2020_choke"
"255","nep.fu.16","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"256","nep.fu.17","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"257","nep.fu.19","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"258","nep.fu.2021","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"259","nep.fu.22","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"260","nep.out.7","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"261","sol.27.7fg","NL_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"262","whg.27.7b-ce-k","NL_Otter_24<40m",NA,NA,NA,613.85912265372,"intermediate"
"263","cod.27.7e-k","OTH_OTH",NA,NA,NA,0,"choke"
"264","had.27.7b-k","OTH_OTH",NA,NA,NA,865.020858854905,"intermediate"
"265","meg.27.7b-k8abd","OTH_OTH",NA,NA,NA,951.095000613946,"intermediate"
"266","mon.27.78abd","OTH_OTH",NA,NA,NA,1017.42564019765,"intermediate"
"267","nep.fu.16","OTH_OTH",NA,NA,NA,NA,"intermediate"
"268","nep.fu.17","OTH_OTH",NA,NA,NA,NA,"intermediate"
"269","nep.fu.19","OTH_OTH",NA,NA,NA,NA,"intermediate"
"270","nep.fu.2021","OTH_OTH",NA,NA,NA,NA,"intermediate"
"271","nep.fu.22","OTH_OTH",NA,NA,NA,NA,"intermediate"
"272","nep.out.7","OTH_OTH",NA,NA,NA,NA,"intermediate"
"273","sol.27.7fg","OTH_OTH",NA,NA,NA,1090.86091760849,"least"
"274","whg.27.7b-ce-k","OTH_OTH",NA,NA,NA,590.098525240006,"intermediate"
"275","nep.fu.16","UKE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"276","nep.fu.17","UKE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"277","nep.fu.19","UKE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"278","nep.fu.22","UKE_Beam_10<24m",NA,NA,NA,NA,"intermediate"
"279","nep.fu.16","UKE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"280","nep.fu.17","UKE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"281","nep.fu.19","UKE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"282","nep.fu.22","UKE_Beam_24<40m",NA,NA,NA,NA,"intermediate"
"283","nep.fu.16","UKE_Other_<10m",NA,NA,NA,NA,"intermediate"
"284","nep.fu.17","UKE_Other_<10m",NA,NA,NA,NA,"intermediate"
"285","nep.fu.19","UKE_Other_<10m",NA,NA,NA,NA,"intermediate"
"286","nep.fu.2021","UKE_Other_<10m",NA,NA,NA,NA,"intermediate"
"287","nep.fu.22","UKE_Other_<10m",NA,NA,NA,NA,"intermediate"
"288","nep.fu.16","UKE_Otter_<10m",NA,NA,NA,NA,"intermediate"
"289","nep.fu.17","UKE_Otter_<10m",NA,NA,NA,NA,"intermediate"
"290","nep.fu.19","UKE_Otter_<10m",NA,NA,NA,NA,"intermediate"
"291","nep.fu.2021","UKE_Otter_<10m",NA,NA,NA,NA,"intermediate"
"292","nep.fu.16","UKE_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"293","nep.fu.17","UKE_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"294","nep.fu.16","UKE_Static_10<24m",NA,NA,NA,NA,"intermediate"
"295","nep.fu.17","UKE_Static_10<24m",NA,NA,NA,NA,"intermediate"
"296","nep.fu.19","UKE_Static_10<24m",NA,NA,NA,NA,"intermediate"
"297","nep.fu.2021","UKE_Static_10<24m",NA,NA,NA,NA,"intermediate"
"298","nep.fu.22","UKE_Static_10<24m",NA,NA,NA,NA,"intermediate"
"299","mon.27.78abd","UKN_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"300","nep.out.7","UKN_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"301","nep.fu.17","UKS_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"302","nep.fu.22","UKS_Otter_10<24m",NA,NA,NA,NA,"intermediate"
"303","nep.fu.17","UKS_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"304","nep.fu.22","UKS_Otter_24<40m",NA,NA,NA,NA,"intermediate"
"305","sol.27.7fg","UKS_Otter_24<40m",NA,NA,NA,NA,"intermediate"
