"year","country","subArea","catchCat","fleet","Age","frequency1000","meanWeightKg"
2003,"UK (England)","27.7","Discards","GNS_DEF",4,693.926084572933,0.300088157054011
2003,"UK (England)","27.7","Discards","GNS_DEF",5,94.7386193453939,0.42842391893726
2003,"UK (England)","27.7","Discards","GNS_DEF",6,24.4581791405491,0.846612339516949
2003,"UK (England)","27.7","Discards","MIS_MIS",0,1367.65209363133,0.0418102799243447
2003,"UK (England)","27.7","Discards","MIS_MIS",1,6222.71948588782,0.136414621667768
2003,"UK (England)","27.7","Discards","MIS_MIS",2,17671.8478976215,0.203939771296735
2003,"UK (England)","27.7","Discards","MIS_MIS",3,22183.2273371975,0.227120800353501
2003,"UK (England)","27.7","Discards","MIS_MIS",4,22287.5220547319,0.242349540087284
2003,"UK (England)","27.7","Discards","MIS_MIS",5,2600.85654209325,0.266921846885749
2003,"UK (England)","27.7","Discards","MIS_MIS",6,174.703245298141,0.328673715961985
2003,"UK (England)","27.7","Discards","OTB_CRU",0,1759.55529681451,0.0426435291471903
2003,"UK (England)","27.7","Discards","OTB_CRU",1,14972.2148975093,0.127333224553691
2003,"UK (England)","27.7","Discards","OTB_CRU",2,50045.4994099521,0.197319544768797
2003,"UK (England)","27.7","Discards","OTB_CRU",3,65245.2656177459,0.22197722835123
2003,"UK (England)","27.7","Discards","OTB_CRU",4,67211.7972414337,0.239229055532081
2003,"UK (England)","27.7","Discards","OTB_CRU",5,6886.93821114284,0.270271941687059
2003,"UK (England)","27.7","Discards","OTB_CRU",6,410.181833524125,0.345013956058459
2003,"UK (England)","27.7","Discards","OTB_DEF",0,42206.1398500649,0.0452151791678582
2003,"UK (England)","27.7","Discards","OTB_DEF",1,162132.998990995,0.143944611999243
2003,"UK (England)","27.7","Discards","OTB_DEF",2,638400.155712566,0.19891314739998
2003,"UK (England)","27.7","Discards","OTB_DEF",3,862667.480767653,0.221320025418813
2003,"UK (England)","27.7","Discards","OTB_DEF",4,897495.355869762,0.233076077624119
2003,"UK (England)","27.7","Discards","OTB_DEF",5,101009.875141726,0.251320618204855
2003,"UK (England)","27.7","Discards","OTB_DEF",6,6139.79639039944,0.284407797802738
2003,"UK (England)","27.7","Discards","TBB_DEF",0,19818.7736856601,0.0335384622156779
2003,"UK (England)","27.7","Discards","TBB_DEF",1,71900.1222280499,0.117818219944892
2003,"UK (England)","27.7","Discards","TBB_DEF",2,168831.630284896,0.185917523205548
2003,"UK (England)","27.7","Discards","TBB_DEF",3,196773.857380647,0.219682031268162
2003,"UK (England)","27.7","Discards","TBB_DEF",4,200095.460972315,0.25192979688626
2003,"UK (England)","27.7","Discards","TBB_DEF",5,22160.2219212583,0.310525483035041
2003,"UK (England)","27.7","Discards","TBB_DEF",6,1758.44596302413,0.463022955194811
2003,"UK (England)","27.7","Landings","GNS_DEF",0,3.59043933700963,0.216199100626112
2003,"UK (England)","27.7","Landings","GNS_DEF",1,117.83287528592,0.26407938296086
2003,"UK (England)","27.7","Landings","GNS_DEF",2,2979.90600247528,0.301524564293159
2003,"UK (England)","27.7","Landings","GNS_DEF",3,11259.1236458105,0.322661043888341
2003,"UK (England)","27.7","Landings","GNS_DEF",4,25889.9364429646,0.454656086043874
2003,"UK (England)","27.7","Landings","GNS_DEF",5,7184.45084361103,0.739952694569105
2003,"UK (England)","27.7","Landings","GNS_DEF",6,3266.34302379456,1.20457040455212
2003,"UK (England)","27.7","Landings","MIS_MIS",0,4.57502250731456,0.23679047319594
2003,"UK (England)","27.7","Landings","MIS_MIS",1,542.176845151345,0.277690508184922
2003,"UK (England)","27.7","Landings","MIS_MIS",2,6960.25600988923,0.32136251570503
2003,"UK (England)","27.7","Landings","MIS_MIS",3,15826.9455694183,0.340372505604372
2003,"UK (England)","27.7","Landings","MIS_MIS",4,27138.102573135,0.389350895201421
2003,"UK (England)","27.7","Landings","MIS_MIS",5,5215.58028639645,0.461163735510415
2003,"UK (England)","27.7","Landings","MIS_MIS",6,857.981930524552,0.655090480510061
2003,"UK (England)","27.7","Landings","OTB_CRU",0,22.6496663409015,0.212618651103324
2003,"UK (England)","27.7","Landings","OTB_CRU",1,798.910516679219,0.265963750806051
2003,"UK (England)","27.7","Landings","OTB_CRU",2,15357.2684400141,0.322934382316721
2003,"UK (England)","27.7","Landings","OTB_CRU",3,39974.4124979728,0.334833983578559
2003,"UK (England)","27.7","Landings","OTB_CRU",4,77335.4303106088,0.403072245599035
2003,"UK (England)","27.7","Landings","OTB_CRU",5,14721.0682924777,0.510091063825307
2003,"UK (England)","27.7","Landings","OTB_CRU",6,2623.356845899,0.774835609124764
2003,"UK (England)","27.7","Landings","OTB_DEF",0,277.867369821925,0.220361193172945
2003,"UK (England)","27.7","Landings","OTB_DEF",1,10907.7678637236,0.27267855986413
2003,"UK (England)","27.7","Landings","OTB_DEF",2,169852.400126245,0.328977494132255
2003,"UK (England)","27.7","Landings","OTB_DEF",3,408239.404043334,0.337675514793342
2003,"UK (England)","27.7","Landings","OTB_DEF",4,696221.590420209,0.393373849120869
2003,"UK (England)","27.7","Landings","OTB_DEF",5,131421.952730806,0.472195208838155
2003,"UK (England)","27.7","Landings","OTB_DEF",6,21338.7983883563,0.670947021309745
2003,"UK (England)","27.7","Landings","TBB_DEF",0,161.044537525425,0.198493106378222
2003,"UK (England)","27.7","Landings","TBB_DEF",1,2575.45828959125,0.223126450343233
2003,"UK (England)","27.7","Landings","TBB_DEF",2,28067.9831531006,0.321836466267545
2003,"UK (England)","27.7","Landings","TBB_DEF",3,64490.9887828876,0.341547438148262
2003,"UK (England)","27.7","Landings","TBB_DEF",4,122274.328644707,0.409788851980659
2003,"UK (England)","27.7","Landings","TBB_DEF",5,24760.7990483848,0.515497063095802
2003,"UK (England)","27.7","Landings","TBB_DEF",6,4788.32978419567,0.75487123885776
2003,"UK(Scotland)","27.7","Discards","OTB_CRU",0,266.552299625624,0.0466371732790832
2003,"UK(Scotland)","27.7","Discards","OTB_CRU",1,599.468491121222,0.127934429586059
