Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
France,4,Quarter,2017,mon.27.78abd,27.7.e,OTM_DEF_70-99_0_0_all,58546,kWd,6311.21,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.k,OTT-CRU,994,kWd,71.34,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.a,OTM_DEF_70-99_0_0_all,148808,kWd,545.54,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.b,OTM_DEF_70-99_0_0_all,77554,kWd,149.74,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.e,OTT-CRU,1584,kWd,0,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.h,OTM_DEF_70-99_0_0_all,1200,kWd,448.85,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,OTM_DEF_70-99_0_0_all,76683,kWd,156.25,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.h,OTM_DEF_70-99_0_0_all,12400,kWd,3758.86,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.h,OTM_DEF_70-99_0_0_all,797,kWd,22.64,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,OTT-CRU,1137,kWd,22.14,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.d,OTT-CRU,87,kWd,1.91,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,OTM_DEF_70-99_0_0_all,50909,kWd,3232.54,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.a,OTM_DEF_70-99_0_0_all,161221,kWd,599.28,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.b,OTM_DEF_70-99_0_0_all,130239,kWd,171.36,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.d,OTT-CRU,98,kWd,5.65,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.d.2,PTB_DEF_>=70_0_0,1840,kWd,50,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.d.2,PTB_DEF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.a,OTB_MCF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.a,PTB_DEF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.b,OTB_MCF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.a,PTB_DEF_>=70_0_0,1840,kWd,0,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.d.2,PTB_DEF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.a,PTB_DEF_>=70_0_0,2208,kWd,200,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.a,OTB_MCF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.b,OTB_MCF_>=70_0_0,3039,kWd,310,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.a,PTB_DEF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.b,OTB_MCF_>=70_0_0,22637,kWd,3170,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.d.2,PTB_DEF_>=70_0_0,1104,kWd,0,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.a,OTB_MCF_>=70_0_0,0,kWd,0,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,249050,kWd,2908.71,Discards,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.a,GTR_DEF_100-119_0_0_all,738021,kWd,175292.23,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.a,GTR_DEF_100-119_0_0_all,738021,kWd,15978.39,Discards,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,611907,kWd,97456.71,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,611907,kWd,5077.54,Discards,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,595000,kWd,30488.33,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,GTR_DEF_100-119_0_0_all,595000,kWd,117.57,Discards,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.d,GTR_DEF_>=220_0_0_all,46647,kWd,22.26,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,116085,kWd,240274.59,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,116085,kWd,2385.78,Discards,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,94288,kWd,124480.94,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_>=220_0_0_all,94288,kWd,3495.86,Discards,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,OTT_DEF_>=70_0_0,1466,kWd,0.03,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_100-119_0_0_all,27565,kWd,2377.93,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.h,OTT_DEF_>=70_0_0,23642,kWd,2470.01,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.h,OTT_DEF_>=70_0_0,23642,kWd,72.42,Discards,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.b,OTT_DEF_>=70_0_0,116837,kWd,40575.09,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,OTT_DEF_>=70_0_0,125540,kWd,26945.06,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.d,OTT_DEF_>=70_0_0,33984,kWd,21821.72,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.d,GTR_DEF_100-119_0_0_all,207207,kWd,18.91,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,OTT_DEF_>=70_0_0,24748,kWd,43.73,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,GTR_DEF_100-119_0_0_all,24543,kWd,1063.43,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.h,OTT_DEF_>=70_0_0,961,kWd,6.72,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.h,OTT_DEF_>=70_0_0,2270,kWd,319.45,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.d,OTT_DEF_>=70_0_0,27637,kWd,12231.7,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.d,GTR_DEF_100-119_0_0_all,25106,kWd,27491.06,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.d,OTT_DEF_>=70_0_0,28378,kWd,16.84,Landings,R-Reported,Imported
Ireland,3,Quarter,2017,mon.27.78abd,27.7.g,TBB_DEF_70-99_0_0_all,-9,NA,50580,Landings,R-Reported,Imported
Ireland,3,Quarter,2017,mon.27.78abd,27.7.g,TBB_DEF_70-99_0_0_all,-9,NA,21411.33,Discards,R-Reported,Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,7657,fd,157207,Landings,"A-All - reported, nonre",Imported
UK (England),3,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,7657,fd,7175,Discards,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,8215,fd,220084,Landings,"A-All - reported, nonre",Imported
UK (England),4,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,8215,fd,44729,Discards,"A-All - reported, nonre",Imported
UK (England),2,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,5347,fd,112978,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,8325,fd,209044,Landings,"A-All - reported, nonre",Imported
UK (England),1,Quarter,2017,mon.27.78abd,27.7.e,TBB_DEF_70-99_0_0_all,8325,fd,10309,Discards,"A-All - reported, nonre",Imported
Ireland,2,Quarter,2017,mon.27.78abd,27.7.j,TBB_DEF_70-99_0_0_all,-9,NA,86,Landings,R-Reported,Imported
Ireland,2,Quarter,2017,mon.27.78abd,27.7.j,TBB_DEF_70-99_0_0_all,-9,NA,36.41,Discards,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.d,GTR_DEF_>=220_0_0_all,17334,kWd,502.28,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.d,GTR_CRU_0_0_0_all,8178,kWd,10.48,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.e,GTR_CRU_0_0_0_all,4143,kWd,180.4,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.h,GTR_CRU_0_0_0_all,5488,kWd,2217.59,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.k,GTR_DEF_>=220_0_0_all,83,kWd,455.08,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.b,GTR_CRU_0_0_0_all,2255,kWd,2.47,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.e,GTR_CRU_0_0_0_all,6695,kWd,476.73,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.h,GTR_CRU_0_0_0_all,6930,kWd,2102.83,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.8.a,GTR_CRU_0_0_0_all,13583,kWd,471.08,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.8.a,GTR_CRU_0_0_0_all,16130,kWd,323.09,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.b,GTR_CRU_0_0_0_all,5814,kWd,44.45,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,GTR_CRU_0_0_0_all,18025,kWd,746.56,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,GTR_CRU_0_0_0_all,18025,kWd,990.99,Discards,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,GTR_CRU_0_0_0_all,14406,kWd,1421.57,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.a,GTR_CRU_0_0_0_all,56222,kWd,7639.77,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.b,GTR_CRU_0_0_0_all,1094,kWd,331.13,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.8.d,GTR_CRU_0_0_0_all,660,kWd,65.36,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.d,GTR_CRU_0_0_0_all,25176,kWd,5.24,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.h,GTR_CRU_0_0_0_all,3847,kWd,917.91,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.8.a,GTR_CRU_0_0_0_all,57936,kWd,4955.81,Landings,R-Reported,Imported
Ireland,2,Quarter,2017,mon.27.78abd,27.7.b,GNS_DEF_120-219_0_0_all,-9,NA,606,Landings,R-Reported,Imported
Ireland,2,Quarter,2017,mon.27.78abd,27.7.b,GNS_DEF_120-219_0_0_all,-9,NA,9.16,Discards,R-Reported,Imported
